"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003766718805","https://ae04.alicdn.com/kf/Sb43fa9a93f0b4fd98dcb6bb5a4eca9a0P.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/345624497119.mp4","1/2PCS Yoga Set Fitness Sports Set Workout Clothes For Women Gym Set Women Fitness Sportswear Gym Clothing Seamless Sport Suit","USD 18.69","USD 11.21","40%","USD","8.0","USD 0.90","577","99.1%","https://s.click.aliexpress.com/e/_DdsR1Xz"
"1005003680008399","https://ae04.alicdn.com/kf/Hfcfa1d6b65fd496dab6e50d069338ebbl.jpg",,"Kids Girls Suicide Harley cosplay Costumes Squad Quinn Monster Jacket Pants Sets Christmas Kids Girls New Year Party Clothes","USD 4.99","USD 4.99","0%","USD","20.0","USD 1.00","362","89.2%","https://s.click.aliexpress.com/e/_DFMlR39"
"1005004053952266","https://ae04.alicdn.com/kf/U61da09910fd3486f92ed36709a28618dJ.jpg",,"Euphoria Cheerleader Uniform Maddy Perez Cheerleader Costume Clothes Outfit High School Long Sleeve Womens Cheerleading Costume","USD 45.99","USD 18.40","60%","USD","7","USD 1.29","168","84.0%","https://s.click.aliexpress.com/e/_DEWUSEB"
"1005004546663980","https://ae04.alicdn.com/kf/Hed678426611d48f9a1b2f396acedf9f5J.jpg",,"2021New Summer Women Short Sleeve V-neck Tops+Pants Nursing Working Uniform Set Suit Protective Clothes Sets Uniforms  Подходить","USD 10.38","USD 5.19","50%","USD","7","USD 0.36","21","20.0%","https://s.click.aliexpress.com/e/_DC6bm6f"
"1005001416989077","https://ae04.alicdn.com/kf/H2d981ee89b074cd4a74bb27a0d5117819.jpg",,"Winter Pregnant Women Black Leggings for Maternity Warm Soft Velvet Pants Pregnancy Inner Wool Clothes Ropa Mujer Embarazada","USD 14.47","USD 10.85","25%","USD","7","USD 0.76","160","94.4%","https://s.click.aliexpress.com/e/_Dk1Juzz"
"1005003630165823","https://ae04.alicdn.com/kf/S212a0af6f6ae4c6c922ea64e23d22ebea.jpg",,"QWEEK Gothic Lolita Black Dress Women Preppy Style Sweet Vintage Kawaii Long Sleeve Dresses Girl Robe Cute Clothes 2021 Autumn","USD 30.42","USD 18.25","40%","USD","9.0","USD 1.64","96","95.3%","https://s.click.aliexpress.com/e/_Dkhw50X"
"1005004341101853","https://ae04.alicdn.com/kf/S198c20b86acb4a979ef6b19cc2f7ba453.jpg",,"Double Sided Adhesive Body Tape Skin Clothing Clear Lingerie Sticky Bra Tape Breast Bra Strip Intimates Accessories 5 Meter","USD 5.97","USD 3.58","40%","USD","10.5","USD 0.38","16","100.0%","https://s.click.aliexpress.com/e/_DlJWnkJ"
"1005004533361238","https://ae04.alicdn.com/kf/S17663074eda34a8bafe693533c6d2d4cl.jpg",,"Sanrio Plush Clothes Fashion Soft Nightgown Robe Y2k Home Clothes Cinnamoroll Kawaii Women Female Cartoon Thickened Fleece Coat","USD 24.62","USD 20.44","17%","USD","8.0","USD 1.64","24","100.0%","https://s.click.aliexpress.com/e/_DEHtabp"
"1005004642878617","https://ae04.alicdn.com/kf/S025110fe25bc487382d2c971bbfcea4b2.jpg",,"Korean Style K Pop Straykids HyunJin T Shirt The Same Paragraph Short Sleeve Loose T-shirt Summer Tee Tops K-pop Clothes","USD 10.99","USD 6.70","39%","USD","9","USD 0.60","42","82.9%","https://s.click.aliexpress.com/e/_Dmz2CJD"
"1005002886063421","https://ae04.alicdn.com/kf/Scf801bfd6a4f461fac705e1cfd01c71bh.jpg",,"Custom TEXT Letter Print Women T Shirt Short Sleeve O Neck Loose Women Tshirt Ladies Tee Shirt Tops Clothes Camisetas Mujer","USD 2.72","USD 2.23","18%","USD","12.0","USD 0.27","141","96.9%","https://s.click.aliexpress.com/e/_DdoyY4b"
"1005004054819287","https://ae04.alicdn.com/kf/S41b24383917b4f97a559c35480a50d07X.jpg",,"17PCS Heated vest Jacket Fashion Men Women Coat Intelligent USB Electric Heating Thermal Warm Clothes Winter Heated Vest 열선조끼","USD 21.60","USD 10.15","53%","USD","8.0","USD 0.81","602","89.2%","https://s.click.aliexpress.com/e/_DeqY1Q3"
"1005003660666568","https://ae04.alicdn.com/kf/H4fbb7b10d369449189ea1f1c5e5a5d85J.jpg",,"High Quality Spa Uniforms Unisex V-Neck Work clothes Pet grooming institution Scrubs set Medical suits clothes Scrubs Tops Pants","USD 30.00","USD 10.50","65%","USD","8.0","USD 0.84","34","100.0%","https://s.click.aliexpress.com/e/_DFxcv91"
"1005001933047885","https://ae04.alicdn.com/kf/S8b42e3f697634949b2c88c6a8eb9a273H.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/292247849485.mp4","Striped Knit Yoga T-Shirt Sports Running Short Sleeved Tee Temperament Crop Top Dance Training Elastic Fitness Clothes for Women","USD 15.70","USD 8.48","46%","USD","7","USD 0.59","20","100.0%","https://s.click.aliexpress.com/e/_Dm9n8qP"
"1005002870149097","https://ae04.alicdn.com/kf/H21196b78fb9c4aadbef3341ffc8294dbo.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/315505681264.mp4","Latin Dance Dress Velvet Diamond Skirt Mesh Long Sleeve Performance Clothes Profession Custom Adult Child Competition Clothing","USD 98.21","USD 68.75","30%","USD","8.0","USD 5.50","22","100.0%","https://s.click.aliexpress.com/e/_DBM4L6T"
"1005001694182087","https://ae04.alicdn.com/kf/S47f13d47dada4111a9d596c9655149bar.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/286061167775.mp4","Long Sleeve Nightdress for Women Spring and Autumn Modal Cotton Multi-color Plus Size Chemise De Nuit Femme Longue Wear Clothes","USD 15.50","USD 14.72","5%","USD","7","USD 1.03","26","100.0%","https://s.click.aliexpress.com/e/_DBlT9v1"
"4001022485917","https://ae04.alicdn.com/kf/Hccc1f1fd28ca4bb7a3858617dbed0794A.jpg",,"Thin Pantyhose Women Sexy Solid Fishnet Tights Clothes For Women Stockings Black Mesh Tights Lace Sexy Lingerie","USD 2.27","USD 1.59","30%","USD","8.0","USD 0.13","173","94.0%","https://s.click.aliexpress.com/e/_DCuVfRV"
"1005003802301907","https://ae04.alicdn.com/kf/S742dc01aa4064cd7b308cc6b20b57665J.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/344993277876.mp4","2022 Thermal Underwear Warm Winter High Elasticity Seamless Antibacterial Intimates Sexy Ladies Clothes Long Women Shaped Sets","USD 17.00","USD 8.50","50%","USD","7","USD 0.60","489","93.7%","https://s.click.aliexpress.com/e/_DCldi5H"
"1005003895491713","https://ae04.alicdn.com/kf/S59ca677a9c714d63aacfe103543e1e00h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351084343764.mp4","Jimin Merch You Never Walk Alone Hoodie Bangtan Boys Seven with You Hoodies Sweatshirt Fleece Women Men Korean K-Pop Clothes","USD 27.10","USD 18.70","31%","USD","9","USD 1.68","20","85.0%","https://s.click.aliexpress.com/e/_DmCK9eb"
"1005004672116107","https://ae04.alicdn.com/kf/Sd528098d725b4b90b58ebddd53cfaee46.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100083018086.mp4","Stitch Hooded Sweatshirts Disney Y2k Clothes Men Lilo & Stitch Korean With Hood Hoodies Female Clothing Pullover Hoodie Kawaii","USD 15.99","USD 5.28","67%","USD","15.0","USD 0.79","43","85.0%","https://s.click.aliexpress.com/e/_DC3nXVh"
"1005004228078576","https://ae04.alicdn.com/kf/S84e58ae0fc3d4407891dab8225fd737dX.jpg",,"2022 Golf clothing Women's summer short-sleeved T-shirts women's sports clothes Breathable quick-dry top beautiful outdoor sport","USD 46.00","USD 45.08","2%","USD","7","USD 3.16","138","100.0%","https://s.click.aliexpress.com/e/_DC1Q5qj"
"1005002223601982","https://ae04.alicdn.com/kf/Hf24139b61b9e4a6a9d7fd90c6550ef36l.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/299079596897.mp4","2022 New Summer Casual Loose Korean Clothes Harajuku Diamonds T-shirt Women Cotton Fashion Sleeveless Tops Ropa Mujer Shirt Tees","USD 16.38","USD 9.99","39%","USD","9","USD 0.90","35","100.0%","https://s.click.aliexpress.com/e/_DDX6nbd"
"1005003111112216","https://ae04.alicdn.com/kf/S2fd0a569e26e4ec3866e74b03c885f077.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/346438299774.mp4","Women's Thermal Underwear Men Winter Clothes Seamless Thick Double Layer Warm Lingerie Women Thermal Clothing Set Woman 2 Pieces","USD 26.28","USD 23.66","10%","USD","7","USD 1.66","1718","97.8%","https://s.click.aliexpress.com/e/_DnmeWg3"
