"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002332765018","https://ae04.alicdn.com/kf/H7697277dff704a87ab865c66fa78b10d6.jpg",,"619# Summer Thin Wide Leg Loose Straight Maternity Pants Adjustable Belly Pants Clothes for Pregnant Women Casual Pregnancy Wear","USD 17.99","USD 17.99","0%","USD","7","USD 1.26","38","91.4%","https://s.click.aliexpress.com/e/_DcjyOkF"
"1005004272291830","https://ae04.alicdn.com/kf/S755adbe30ecb4ef5b26a5efe40c56254o.jpg",,"TGM Solid Sustainable Basic Tees Women Oversized + Legging Crew Neck Unisex Workout Tops Summer Clothes Loose Fit","USD 35.00","USD 24.15","31%","USD","9","USD 2.17","933","95.0%","https://s.click.aliexpress.com/e/_De0sAyx"
"1005003277186369","https://ae04.alicdn.com/kf/H30dd57d34db9463ea0b5a2d712a8cebcH.jpg",,"Anime Game Genshin Impact Raiden Shogun 3D Hoodies Men Women Sweatshirt Hoodie Harajuku Fashion Kids Streetwear Boy Girl Clothes","USD 20.97","USD 13.84","34%","USD","9","USD 1.25","106","98.3%","https://s.click.aliexpress.com/e/_DdvYrIL"
"1005004135095791","https://ae04.alicdn.com/kf/Se12be390f2014d488ffd15c046f45a90z.jpg",,"Disney Cartoon Women's Pajamas Oversized Nightdress Sleepwear Mid-calf Nightwear Dress Summer Spring Nightgown Home Clothes","USD 6.96","USD 3.83","45%","USD","8.0","USD 0.31","30","85.0%","https://s.click.aliexpress.com/e/_DlYngCT"
"1005004229884663","https://ae04.alicdn.com/kf/S5c4e8a3cc3914677922bd047fc2ed235r.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100065296192.mp4","2022 Boho Floral Printed V-neck Short Sleeve Self Belted Cotton Dress Tunic Women Summer Clothes Street Wear Maxi Dresses A1341","USD 31.31","USD 18.79","40%","USD","9","USD 1.69","152","90.8%","https://s.click.aliexpress.com/e/_DeR4pS7"
"4000596332639","https://ae04.alicdn.com/kf/H128dc3b81a0f4dc09b94a5981cdf48caV.jpg",,"Latin dance performance competition costume sexy pink halter dress ladies children dance clothes flash diamond custom made dress","USD 39.38","USD 36.23","8%","USD","7","USD 2.54","34","77.1%","https://s.click.aliexpress.com/e/_Dm9vZij"
"1005002579825256","https://ae04.alicdn.com/kf/H6bc62f92d2ff47f1a6d60e91de1175a9D.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/308147429827.mp4","ZOOEFFBB Sexy One Shoulder Mini Shirt Dress Fall Clothes for Women Birthday Outfits Ruched Sundress Night Party Club Y2K Dresses","USD 27.99","USD 13.99","50%","USD","9","USD 1.26","23","56.7%","https://s.click.aliexpress.com/e/_DesVil5"
"1005001371610990","https://ae04.alicdn.com/kf/H25d988ad6b10417eba07347d39b6c272r.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/328807163718.mp4","2020 Orca woman triathlon cycling skinsuit summer Sleeveless swimwear custom bike suit ciclismo cycling clothes jumpsuit","USD 43.00","USD 21.07","51%","USD","8.0","USD 1.69","32","75.0%","https://s.click.aliexpress.com/e/_DFj7zHv"
"4001284256548","https://ae04.alicdn.com/kf/Hc213766a3dec4805acc1fc0d390bda22d.jpg",,"Winter Women's Thermal Underwear Sets High-collar Winter Fast Dry Long Johns Thermo Underwear Women Shirt Female Warm Clothes","USD 26.23","USD 18.36","30%","USD","7","USD 1.29","157","93.8%","https://s.click.aliexpress.com/e/_DBOp7JV"
"1005004400871150","https://ae04.alicdn.com/kf/S04e6e5d0dba34a0a8d002c21582d6002S.jpg",,"Bronzing Leggings High Waist Fitness Leggings Women Seam Pants Sexy Solid Color Slim Elasticity Pencil Pants Shinny Clothes","USD 13.77","USD 9.64","30%","USD","9","USD 0.87","43","76.0%","https://s.click.aliexpress.com/e/_DCTxVTH"
"1005004122391511","https://ae04.alicdn.com/kf/S9774c8baa62342f09fa8ee7e5acb5c6b7.jpg",,"Denim Skirts Shorts Girls Y2K Women Tops Short T Shirt Suit Summer Vintage Crop Cute Kawaii Clothing Clothes For Teens","USD 21.78","USD 10.89","50%","USD","9","USD 0.98","45","90.0%","https://s.click.aliexpress.com/e/_DCestvZ"
"1005003798035993","https://ae04.alicdn.com/kf/S320a758542e2454083573baab853ded7R.jpg",,"Tres Pinas New Women's Cycling Jersey Spring Autumn Long Sleeve Fit Thin Bike Shirts MTB Road Bicycle Clothes Maillot Ciclismo","USD 36.00","USD 18.72","48%","USD","10.0","USD 1.87","50","88.0%","https://s.click.aliexpress.com/e/_DeB2cvz"
"1005004493548396","https://ae04.alicdn.com/kf/Sa50bc8465c84495cb5c9939c154fbb6bm.jpg",,"Sanrio Hello Kitty Cute Bra Back Straps Underwear Women Sexy Black Cup Lingerie Halter Design Y2k Cotton Undies Female Top Bras","USD 12.29","USD 9.83","20%","USD","8.0","USD 0.79","66","86.7%","https://s.click.aliexpress.com/e/_DCeQFmx"
"1005003652939841","https://ae04.alicdn.com/kf/H5d6de081d7bc4e1994727075eb2f44bfl.jpg",,"Autumn Winter Women Cute Onesies Pajamas Coral Fleece Warm Cartoon Cat Ears Hooded Sleepwear Girls Sweet Home Clothes Pyjamas","USD 43.81","USD 28.48","35%","USD","7","USD 1.99","48","92.5%","https://s.click.aliexpress.com/e/_DC2XI2P"
"1005002783151455","https://ae04.alicdn.com/kf/H2727a7b5ebff4c4fb348f9e0fad85bf9n.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/353116267188.mp4","Pocket V-Neck Sleeveless Khaki Sweater Vest Knit Top Oversized Women Winter Autumn Cute clothes Korean Style Plus Size Gothic","USD 17.75","USD 11.71","34%","USD","9","USD 1.05","40","86.7%","https://s.click.aliexpress.com/e/_DDk6cvl"
"1005002657006371","https://ae04.alicdn.com/kf/H0043b02e9370404596f8e1457b6485afd.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/310601910049.mp4","Lulu Women's Tank Breathable Quick Dry Tops Woman Clothes Sport Gym Clothing Running Trainning Vest Shirt Hollow Stitching Mesh","USD 21.42","USD 13.49","37%","USD","20.0","USD 2.70","28","96.7%","https://s.click.aliexpress.com/e/_DDs3fyf"
"1005002659000332","https://ae04.alicdn.com/kf/He0588057c2a24ce3adca3f972eb6052bN.jpg",,"Cartoon Bear Summer Nightgown Women Short Sleeve Kawaii Nightdress Sleepwear High Waist Loose Home Clothes Sleeveless","USD 24.98","USD 14.99","40%","USD","8.0","USD 1.20","28","100.0%","https://s.click.aliexpress.com/e/_DFTZT5p"
"1005004101292231","https://ae04.alicdn.com/kf/S1d2cd604a0d44daba819569496e92796S.jpg",,"2/3/4Pcs Gym Set Women Seamless Yoga Suit Sports Bra Crop Top Shorts High Waist Leggings Shorts Outfit Fitness Workout Clothes","USD 37.98","USD 18.99","50%","USD","7","USD 1.33","105","98.8%","https://s.click.aliexpress.com/e/_DlTrZYn"
"1005004739485709","https://ae04.alicdn.com/kf/Se8e48c4202bf406f9f400c51a2e99e99N.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100087505056.mp4","Lulu Scuba Hoodie Women's Training Sweat-shirt Gym Workout Clothes Sports and Leisure Hooded Sweatshirts Heavy Jackets Yoga Wear","USD 42.88","USD 33.88","21%","USD","8.0","USD 2.71","29","null%","https://s.click.aliexpress.com/e/_DkZ5MR1"
"1005004267611112","https://ae04.alicdn.com/kf/S41db7d65a4854a3c8970ba8d539f0abfh.jpg",,"Gold Sliver Sequin Top Women Summer Sleeveless Tank Camisole Bling Bling V Neck Loose Y2k Tops Tunics Clothes","USD 11.20","USD 5.60","50%","USD","9","USD 0.50","37","50.0%","https://s.click.aliexpress.com/e/_DlARq7h"
