"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003903382733","https://ae04.alicdn.com/kf/Sa5f8170da00641129b079333cb373ef92.jpg",,"Winter Flannel Pajamas Set For Women Coral Fleece O-Neck  Pyjamas Suit Long Sleeve Trouser Female Sleepwear 2022 Home Clothes","USD 21.00","USD 14.28","32%","USD","8.0","USD 1.14","31","100.0%","https://s.click.aliexpress.com/e/_DCwTMn1"
"1005004291074401","https://ae04.alicdn.com/kf/Sdcb6f53b166845c8ac5e198688bc8746U.jpg",,"Mountain Bike Female Set Cycling Jersey Women Sportwear Cheap Wholesale Women Clothes Woman Clothing Women's Cycling Shorts Sets","USD 58.39","USD 15.77","73%","USD","7","USD 1.10","30","100.0%","https://s.click.aliexpress.com/e/_DDGVYIn"
"1005003635007820","https://ae04.alicdn.com/kf/S6e100c67ad0b4dbb9e779638fa8416cfk.jpg",,"QWEEK White Kawaii Women Shirts Lace Collar Blouses with Bow Long Sleeve Ladies Tops 2021 Vintage Elegant Button Up Clothes","USD 23.35","USD 16.11","31%","USD","9.0","USD 1.45","47","100.0%","https://s.click.aliexpress.com/e/_DEwpSSP"
"1005003342015893","https://ae04.alicdn.com/kf/H2c90338435174c1ead43963b3283b1c0Z.jpg",,"Lace 5PCS Pajamas Set Autumn Sleepwear Women Velvet Lounge Wear Lingerie Home Clothes Sexy Kimono Bathrobe Gown With Breast Pads","USD 39.86","USD 27.90","30%","USD","7","USD 1.95","82","85.0%","https://s.click.aliexpress.com/e/_DlBX5uR"
"1005003050626733","https://ae04.alicdn.com/kf/H06c24b0dcbae4931a99965ba78a0f78dT.jpg",,"Operating Room Pet Grooming Spa Working Clothes Dental Clinic Lab Doctor Nurse Working Uniforms Medical Surgical Scrubs Uniforms","USD 15.99","USD 5.28","67%","USD","8.0","USD 0.42","192","91.2%","https://s.click.aliexpress.com/e/_DeZ9hdt"
"1005001653732459","https://ae04.alicdn.com/kf/S8f20768caeea4b60ab0b683c32423964x.jpg",,"Usb Heated Vest 4/8/9/11/13 Places Heating Jacket Men/Women Outdoor Clothes Winter Fishing Hunting Heated Waistcoat Jacket Veste","USD 28.10","USD 16.86","40%","USD","8.0","USD 1.35","23","100.0%","https://s.click.aliexpress.com/e/_DkXrghV"
"1005004747750918","https://ae04.alicdn.com/kf/S5195b40443364717ac1eb0887c4a1b83e.jpg",,"New Arrived Zumba Fitness Clothes Womens Cotton Zumba Love Wear Tshirt Tops Tee  0011","USD 11.49","USD 11.49","0%","USD","7","USD 0.80","26","80.0%","https://s.click.aliexpress.com/e/_DkO31pp"
"1005002225207388","https://ae04.alicdn.com/kf/Hb6d47239844a44ecaa74e98034b159b8N.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/299114664788.mp4","Belly Dance Dress V-Neck Leopard Print Long Skirt Performance Clothes Female Adult Elegant Split Competition Practice Clothing","USD 21.95","USD 11.41","48%","USD","8.0","USD 0.91","22","100.0%","https://s.click.aliexpress.com/e/_DklVD23"
"1005003957300768","https://ae04.alicdn.com/kf/S05e8f93874a64e388c005a16175d18a8w.jpg",,"Short Sleeve Family Love Mom Mama Women Print Summer Graphic T Shirt Casual Clothing Fashion Clothes Tee T-shirt Female Top","USD 6.18","USD 3.71","40%","USD","9","USD 0.33","45","87.5%","https://s.click.aliexpress.com/e/_Dl3payT"
"1005002671028485","https://ae04.alicdn.com/kf/H4304ed6e3545430293381689ee217585R.jpg",,"Short Sleeve Tees White Thin Knitting Elastics Fashion Woman Summer Clothes Tops Korean Solid Loose Casual T-Shirt","USD 4.90","USD 3.92","20%","USD","9","USD 0.35","148","94.1%","https://s.click.aliexpress.com/e/_DBft6fZ"
"32957121048","https://ae04.alicdn.com/kf/Ha3a66ac5cb2548d89e2356090813428fO.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/348230066337.mp4","Professional Ballet Tutus LED Swan Lake Adult Ballet Dance Clothes Tutu Skirt Women Ballerina Dress For Girls Party","USD 31.15","USD 17.13","45%","USD","7","USD 1.20","114","99.1%","https://s.click.aliexpress.com/e/_Dl9b6NH"
"1005003486307518","https://ae04.alicdn.com/kf/H9a6fed858d654db09b31a5a16d49c7c8h.jpg",,"Fitness LuLu Running Street Women Yoga Bra Sports Beauty Back Vest Harness Training Yoga Gym Top Woman Clothes Quick Dry","USD 25.12","USD 17.58","30%","USD","20.0","USD 3.52","40","100.0%","https://s.click.aliexpress.com/e/_DCHdULv"
"1005004277132189","https://ae04.alicdn.com/kf/Sd262b5685dc949368f554ebbc71130ebW.jpg",,"TGM Women Activewear Suits Short Sleeved T-Shirt Solid Tees + Leggings Yoga Pants Women's Two Piece Sets Workout Running Clothes","USD 59.86","USD 41.30","31%","USD","9","USD 3.72","320","92.9%","https://s.click.aliexpress.com/e/_De65Ss7"
"1005004040545894","https://ae04.alicdn.com/kf/S47ffd78793de4a65814e4f0790cd57d0R.jpg",,"Cotton linen cardigan Irregular solid color Loose sleeve summer women dress long sleeve shirt Sunscreen clothes Europe America","USD 34.58","USD 17.29","50%","USD","9","USD 1.56","60","80.0%","https://s.click.aliexpress.com/e/_DFtuw59"
"1005002897118362","https://ae04.alicdn.com/kf/S03630d777fa14821a42de4ea0665dd9aw.jpg",,"Pharmacist Dentist Veterinary Nurse New Tops Fashion Slim Beauty Scrub Clothes Spa Nurse Pure Cotton Medical Lab Medical Uniform","USD 18.99","USD 9.68","49%","USD","7","USD 0.68","371","97.4%","https://s.click.aliexpress.com/e/_DdeKdUR"
"1005003249240669","https://ae04.alicdn.com/kf/Hd5c533cd76f2453abc345404dd703d4bS.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100071739565.mp4","Women’s Summer Personality Printing Vest Causal Round Neck Exposed Navel Sleeveless Tops  cyber y2k  fairy grunge clothes 	 goth","USD 4.30","USD 3.27","24%","USD","9","USD 0.29","839","91.1%","https://s.click.aliexpress.com/e/_DmZZ4Xh"
"1005001637939415","https://ae04.alicdn.com/kf/H9e2bfb5a7e65455bb097deacd8dfeb32f.jpg",,"Crumpled Ruffled Sunscreen Clothes Solid Color Scarf Chiffon Ladies Driving Cycling Beach Vacation Multifunctional Shawl  E19","USD 5.52","USD 4.42","20%","USD","7","USD 0.31","167","96.5%","https://s.click.aliexpress.com/e/_DkPUjRz"
